City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,flic en flac,-20.2742,57.3631,24.73,78,11,3.58,MU,1667704504
190,hovd,48.0056,91.6419,-0.02,56,27,0.42,MN,1667704505
191,san luis,-33.295,-66.3356,21.13,30,74,6.1,AR,1667704394
192,santa cruz,-17.8,-63.1667,18.7,72,0,2.57,BO,1667704503
193,ekibastuz,51.6667,75.3667,-1.06,69,11,9.28,KZ,1667704506
194,palu,-0.8917,119.8707,25.57,93,100,0.82,ID,1667704507
195,husavik,66.0449,-17.3389,2.65,91,99,3.67,IS,1667704508
196,severo-kurilsk,50.6789,156.125,4.07,85,100,4.78,RU,1667704509
197,arraial do cabo,-22.9661,-42.0278,19.8,73,6,3.31,BR,1667704509
198,kamenka,51.3223,42.7678,0.91,86,100,2.45,RU,1667704510
199,porto novo,6.4965,2.6036,24.6,88,95,0.54,BJ,1667704511
200,san carlos de bariloche,-41.1456,-71.3082,10.57,77,0,2.85,AR,1667704511
201,yoichi,43.2039,140.7703,8.42,50,8,7.51,JP,1667704512
202,bemidji,47.4736,-94.8803,1.98,91,0,0.0,US,1667704378
203,isangel,-19.55,169.2667,29.03,63,47,3.38,VU,1667704513
204,yanam,16.7333,82.2167,26.99,63,0,2.96,IN,1667704514
205,vardo,70.3705,31.1107,4.99,87,100,7.2,NO,1667704515
206,aklavik,68.2191,-135.0107,-12.91,76,99,7.61,CA,1667704515
207,skjervoy,70.0311,20.9714,3.0,91,100,2.43,NO,1667704516
208,souillac,-20.5167,57.5167,23.21,88,40,3.6,MU,1667704517
209,hami,42.8,93.45,10.22,23,100,1.67,CN,1667704517
210,fortuna,40.5982,-124.1573,11.48,92,100,1.21,US,1667704518
211,kautokeino,69.0125,23.0412,2.24,98,100,6.75,NO,1667704518
212,bartica,6.4,-58.6167,22.48,99,99,0.82,GY,1667704519
213,sao filipe,14.8961,-24.4956,26.34,65,100,2.49,CV,1667704519
214,cesvaine,56.9667,26.3167,2.12,95,100,3.5,LV,1667704520
215,ebbs,47.6333,12.2167,5.75,97,100,1.73,AT,1667704521
216,kangaatsiaq,68.3065,-53.4641,-3.5,56,100,7.46,GL,1667704521
217,buala,-8.145,159.5921,28.72,75,76,1.96,SB,1667704522
218,flinders,-34.5833,150.8552,24.54,65,43,2.68,AU,1667704522
219,finschhafen,-6.6024,147.8681,29.69,70,74,4.33,PG,1667704523
220,lucea,18.451,-78.1736,24.92,73,6,2.77,JM,1667704524
221,along,28.1667,94.7667,22.2,51,0,0.23,IN,1667704524
222,bathsheba,13.2167,-59.5167,26.34,89,75,8.23,BB,1667704417
223,san cristobal,7.7669,-72.225,21.1,98,100,0.82,VE,1667704526
224,nanortalik,60.1432,-45.2371,1.61,86,100,5.13,GL,1667704526
225,suzun,53.7841,82.3116,1.04,58,100,4.26,RU,1667704527
226,moroni,-11.7022,43.2551,25.26,72,22,1.29,KM,1667704527
227,saldanha,-33.0117,17.9442,15.91,91,0,4.11,ZA,1667704528
228,caceres,39.522,-6.3748,9.51,57,37,0.7,ES,1667704528
229,bud,39.447,-86.1758,15.01,74,32,3.72,US,1667704529
230,batticaloa,7.7102,81.6924,27.2,75,93,1.51,LK,1667704530
231,yulara,-25.2406,130.9889,33.08,11,80,5.26,AU,1667704510
232,severo-yeniseyskiy,60.3725,93.0408,-5.2,92,100,2.42,RU,1667704531
233,broken hill,-31.95,141.4333,25.88,21,64,1.79,AU,1667704310
234,nara,34.6851,135.8049,18.62,46,21,1.6,JP,1667704532
235,kabanjahe,3.1001,98.4908,23.29,70,55,1.19,ID,1667704533
236,madera,37.1666,-119.8343,15.56,63,95,0.81,US,1667704533
237,lajas,18.05,-67.0593,23.56,91,75,4.47,PR,1667704534
238,luwuk,-0.9516,122.7875,30.3,68,95,1.54,ID,1667704534
239,agadez,19.75,10.25,18.27,28,100,3.61,NE,1667704535
240,charters towers,-20.1,146.2667,29.75,30,94,4.71,AU,1667704535
241,bajil,15.0584,43.2851,26.08,77,1,1.43,YE,1667704536
242,bichena,10.45,38.2,8.81,62,16,1.59,ET,1667704536
243,kaitangata,-46.2817,169.8464,12.71,58,21,3.61,NZ,1667704433
244,flin flon,54.7682,-101.865,-1.66,96,100,6.8,CA,1667704537
245,pran buri,12.3847,99.9098,29.01,74,93,5.14,TH,1667704538
246,aswan,24.0934,32.907,18.91,43,87,3.75,EG,1667704538
247,adre,13.4667,22.2,20.61,26,86,3.45,TD,1667704539
248,shaowu,27.3409,117.4831,16.59,85,100,0.83,CN,1667704540
249,abu samrah,35.3029,37.1841,15.56,43,0,1.63,SY,1667704500
250,narsaq,60.9167,-46.05,1.12,88,100,2.74,GL,1667704540
251,tahoua,14.8888,5.2692,22.2,18,16,3.69,NE,1667704541
252,kalabo,-14.97,22.6814,18.5,89,96,1.54,ZM,1667704541
253,kushiro,42.975,144.3747,9.5,51,44,8.16,JP,1667704456
254,vendychany,48.6118,27.7932,8.18,66,100,6.35,UA,1667704542
255,nantucket,41.2835,-70.0995,19.03,94,0,6.17,US,1667704343
256,prado,-17.3411,-39.2208,20.02,83,32,3.68,BR,1667704543
257,faya,18.3851,42.4509,12.29,88,3,1.05,SA,1667704543
258,manono,-7.3,27.4167,20.34,98,100,1.51,CD,1667704544
259,sens,48.1667,3.3333,7.42,87,28,3.15,FR,1667704544
260,grand gaube,-20.0064,57.6608,24.65,71,9,3.13,MU,1667704545
261,aleksandrov gay,50.147,48.5704,2.37,90,100,3.12,RU,1667704545
262,cessnock,-32.8333,151.35,23.32,39,94,2.72,AU,1667704546
263,honiara,-9.4333,159.95,29.35,74,85,2.18,SB,1667704546
264,alexandria,31.2156,29.9553,18.43,70,4,2.72,EG,1667704547
265,altoona,40.5187,-78.3947,21.56,66,97,3.13,US,1667704547
266,butembo,0.15,29.2833,13.83,98,100,0.42,CD,1667704548
267,kolpashevo,58.3131,82.9089,-4.04,86,100,3.97,RU,1667704548
268,barkhan,29.8977,69.5256,18.59,44,100,2.9,PK,1667704549
269,guerrero negro,27.9769,-114.0611,18.63,63,0,4.74,MX,1667704356
270,vredendal,-31.6683,18.5012,15.57,91,1,1.2,ZA,1667704549
271,kavieng,-2.5744,150.7967,29.41,70,75,3.58,PG,1667704550
272,rawson,-43.3002,-65.1023,20.04,48,99,11.59,AR,1667704550
273,arecibo,18.4724,-66.7157,24.03,95,100,4.55,PR,1667704551
274,posadas,-27.3671,-55.8961,18.99,59,0,2.57,AR,1667704551
275,oktyabrskiy,54.4815,53.471,-1.7,98,100,1.33,RU,1667704552
276,alice springs,-23.7,133.8833,32.75,9,0,5.14,AU,1667704552
277,jiexiu,37.0244,111.9125,14.03,57,70,4.32,CN,1667704553
278,chuka,-0.3332,37.6459,15.99,93,85,1.11,KE,1667704553
279,la ronge,55.1001,-105.2842,-2.86,74,100,7.2,CA,1667704554
280,norman wells,65.282,-126.8329,-13.98,78,100,6.69,CA,1667704555
281,bacungan,9.9106,118.7022,32.03,66,75,5.14,PH,1667704555
282,igarka,67.4667,86.5833,-9.39,96,100,3.21,RU,1667704556
283,sao joao da barra,-21.6403,-41.0511,18.53,84,6,3.94,BR,1667704556
